Episode 285/1000 - Epsilon: 0.0100, Overall Total Reward: 1035
Episode 286/1000 - Epsilon: 0.0100, Overall Total Reward: 530
Episode 287/1000 - Epsilon: 0.0100, Overall Total Reward: 645
Episode 288/1000 - Epsilon: 0.0100, Overall Total Reward: 685
Episode 289/1000 - Epsilon: 0.0100, Overall Total Reward: 1425
Episode 290/1000 - Epsilon: 0.0100, Overall Total Reward: 535
Episode 291/1000 - Epsilon: 0.0100, Overall Total Reward: 785
Episode 292/1000 - Epsilon: 0.0100, Overall Total Reward: 1050
Episode 293/1000 - Epsilon: 0.0100, Overall Total Reward: 1080
Episode 294/1000 - Epsilon: 0.0100, Overall Total Reward: 635
Episode 295/1000 - Epsilon: 0.0100, Overall Total Reward: 525
Episode 296/1000 - Epsilon: 0.0100, Overall Total Reward: 625
Episode 297/1000 - Epsilon: 0.0100, Overall Total Reward: 685
Episode 298/1000 - Epsilon: 0.0100, Overall Total Reward: 520
Episode 299/1000 - Epsilon: 0.0100, Overall Total Reward: 950
Episode 300/1000 - Epsilon: 0.0100, Overall Total Reward: 1220
Episode 301/1000 - Epsilon: 0.0100, Overall Total Reward: 630
Episode 302/1000 - Epsilon: 0.0100, Overall Total Reward: 615
Episode 303/1000 - Epsilon: 0.0100, Overall Total Reward: 545
Episode 304/1000 - Epsilon: 0.0100, Overall Total Reward: 1800
Episode 305/1000 - Epsilon: 0.0100, Overall Total Reward: 1235
Episode 306/1000 - Epsilon: 0.0100, Overall Total Reward: 1230
Episode 307/1000 - Epsilon: 0.0100, Overall Total Reward: 750
Episode 308/1000 - Epsilon: 0.0100, Overall Total Reward: 795
Episode 309/1000 - Epsilon: 0.0100, Overall Total Reward: 1145
Episode 310/1000 - Epsilon: 0.0100, Overall Total Reward: 670
Episode 311/1000 - Epsilon: 0.0100, Overall Total Reward: 1045
Episode 312/1000 - Epsilon: 0.0100, Overall Total Reward: 1625
Episode 313/1000 - Epsilon: 0.0100, Overall Total Reward: 695
Episode 314/1000 - Epsilon: 0.0100, Overall Total Reward: 1855
Episode 315/1000 - Epsilon: 0.0100, Overall Total Reward: 1390
Episode 316/1000 - Epsilon: 0.0100, Overall Total Reward: 810
Episode 317/1000 - Epsilon: 0.0100, Overall Total Reward: 690
Episode 318/1000 - Epsilon: 0.0100, Overall Total Reward: 570
Episode 319/1000 - Epsilon: 0.0100, Overall Total Reward: 500
Episode 320/1000 - Epsilon: 0.0100, Overall Total Reward: 505
Episode 321/1000 - Epsilon: 0.0100, Overall Total Reward: 540
Episode 322/1000 - Epsilon: 0.0100, Overall Total Reward: 650
Episode 323/1000 - Epsilon: 0.0100, Overall Total Reward: 730
Episode 324/1000 - Epsilon: 0.0100, Overall Total Reward: 530
Episode 325/1000 - Epsilon: 0.0100, Overall Total Reward: 1030
Episode 326/1000 - Epsilon: 0.0100, Overall Total Reward: 670
Episode 327/1000 - Epsilon: 0.0100, Overall Total Reward: 565
Episode 328/1000 - Epsilon: 0.0100, Overall Total Reward: 495
Episode 329/1000 - Epsilon: 0.0100, Overall Total Reward: 670
Episode 330/1000 - Epsilon: 0.0100, Overall Total Reward: 675
Episode 331/1000 - Epsilon: 0.0100, Overall Total Reward: 1160
Episode 332/1000 - Epsilon: 0.0100, Overall Total Reward: 1610
Episode 333/1000 - Epsilon: 0.0100, Overall Total Reward: 865
Episode 334/1000 - Epsilon: 0.0100, Overall Total Reward: 1390
Episode 335/1000 - Epsilon: 0.0100, Overall Total Reward: 470
Episode 336/1000 - Epsilon: 0.0100, Overall Total Reward: 480
Episode 337/1000 - Epsilon: 0.0100, Overall Total Reward: 785
Episode 338/1000 - Epsilon: 0.0100, Overall Total Reward: 630
Episode 339/1000 - Epsilon: 0.0100, Overall Total Reward: 985
Episode 340/1000 - Epsilon: 0.0100, Overall Total Reward: 1260
Episode 341/1000 - Epsilon: 0.0100, Overall Total Reward: 495
Episode 342/1000 - Epsilon: 0.0100, Overall Total Reward: 600
Episode 343/1000 - Epsilon: 0.0100, Overall Total Reward: 775
Episode 344/1000 - Epsilon: 0.0100, Overall Total Reward: 855
Episode 345/1000 - Epsilon: 0.0100, Overall Total Reward: 730
Episode 346/1000 - Epsilon: 0.0100, Overall Total Reward: 675
Episode 347/1000 - Epsilon: 0.0100, Overall Total Reward: 1210
Episode 348/1000 - Epsilon: 0.0100, Overall Total Reward: 1150
Episode 349/1000 - Epsilon: 0.0100, Overall Total Reward: 1010
Episode 350/1000 - Epsilon: 0.0100, Overall Total Reward: 1145
Episode 351/1000 - Epsilon: 0.0100, Overall Total Reward: 585
Episode 352/1000 - Epsilon: 0.0100, Overall Total Reward: 1095
Episode 353/1000 - Epsilon: 0.0100, Overall Total Reward: 675
Episode 354/1000 - Epsilon: 0.0100, Overall Total Reward: 1100
Episode 355/1000 - Epsilon: 0.0100, Overall Total Reward: 500
Episode 356/1000 - Epsilon: 0.0100, Overall Total Reward: 1180
Episode 357/1000 - Epsilon: 0.0100, Overall Total Reward: 585
Episode 358/1000 - Epsilon: 0.0100, Overall Total Reward: 1075
Episode 359/1000 - Epsilon: 0.0100, Overall Total Reward: 575
Episode 360/1000 - Epsilon: 0.0100, Overall Total Reward: 1175
Episode 361/1000 - Epsilon: 0.0100, Overall Total Reward: 1220
Episode 362/1000 - Epsilon: 0.0100, Overall Total Reward: 685
Episode 363/1000 - Epsilon: 0.0100, Overall Total Reward: 2040
Episode 364/1000 - Epsilon: 0.0100, Overall Total Reward: 710
Episode 365/1000 - Epsilon: 0.0100, Overall Total Reward: 1670
Episode 366/1000 - Epsilon: 0.0100, Overall Total Reward: 855
Episode 367/1000 - Epsilon: 0.0100, Overall Total Reward: 725
Episode 368/1000 - Epsilon: 0.0100, Overall Total Reward: 565
Episode 369/1000 - Epsilon: 0.0100, Overall Total Reward: 555
Episode 370/1000 - Epsilon: 0.0100, Overall Total Reward: 725
Episode 371/1000 - Epsilon: 0.0100, Overall Total Reward: 625
Episode 372/1000 - Epsilon: 0.0100, Overall Total Reward: 780
Episode 373/1000 - Epsilon: 0.0100, Overall Total Reward: 460
Episode 374/1000 - Epsilon: 0.0100, Overall Total Reward: 530
Episode 375/1000 - Epsilon: 0.0100, Overall Total Reward: 730
Episode 376/1000 - Epsilon: 0.0100, Overall Total Reward: 570
Episode 377/1000 - Epsilon: 0.0100, Overall Total Reward: 1250
Episode 378/1000 - Epsilon: 0.0100, Overall Total Reward: 600
Episode 379/1000 - Epsilon: 0.0100, Overall Total Reward: 420
Episode 380/1000 - Epsilon: 0.0100, Overall Total Reward: 1265
Episode 381/1000 - Epsilon: 0.0100, Overall Total Reward: 1915
Episode 382/1000 - Epsilon: 0.0100, Overall Total Reward: 535
Episode 383/1000 - Epsilon: 0.0100, Overall Total Reward: 1135
Episode 384/1000 - Epsilon: 0.0100, Overall Total Reward: 710
Episode 385/1000 - Epsilon: 0.0100, Overall Total Reward: 625
Episode 386/1000 - Epsilon: 0.0100, Overall Total Reward: 905
Episode 387/1000 - Epsilon: 0.0100, Overall Total Reward: 560
Episode 388/1000 - Epsilon: 0.0100, Overall Total Reward: 1440
Episode 389/1000 - Epsilon: 0.0100, Overall Total Reward: 1040
Episode 390/1000 - Epsilon: 0.0100, Overall Total Reward: 820
Episode 391/1000 - Epsilon: 0.0100, Overall Total Reward: 940
Episode 392/1000 - Epsilon: 0.0100, Overall Total Reward: 745
Episode 393/1000 - Epsilon: 0.0100, Overall Total Reward: 610
Episode 394/1000 - Epsilon: 0.0100, Overall Total Reward: 525
Episode 395/1000 - Epsilon: 0.0100, Overall Total Reward: 640
Episode 396/1000 - Epsilon: 0.0100, Overall Total Reward: 560
Episode 397/1000 - Epsilon: 0.0100, Overall Total Reward: 1935
Episode 398/1000 - Epsilon: 0.0100, Overall Total Reward: 760
Episode 399/1000 - Epsilon: 0.0100, Overall Total Reward: 560
Episode 400/1000 - Epsilon: 0.0100, Overall Total Reward: 925
Episode 401/1000 - Epsilon: 0.0100, Overall Total Reward: 770
Episode 402/1000 - Epsilon: 0.0100, Overall Total Reward: 495
Episode 403/1000 - Epsilon: 0.0100, Overall Total Reward: 855
